node_id,legacy_id,layer,workstream,kind,formal_state,physics_role,module,declaration,statement,assumptions,dependencies,proof_strategy,mathlib_support,mathlib_gap,effort,risk,gate,stop_condition,notes
AUD-001,,0,Audit,AUDIT,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.Audit.Build,repository_build_is_green,The pinned repository builds from a clean checkout.,Pinned Lean and mathlib revisions,,Run lake build in clean CI; record toolchain hashes.,Lake/Lean CI,none,S,low,G0,Build fails or toolchain is not reproducible.,This is the first gate; all REPORTED_EXISTING nodes remain unverified until it passes.
AUD-002,,0,Audit,AUDIT,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.Audit.Inventory,reported_bank_is_verified,Every theorem claimed as banked is imported and #checked by one audit module.,AUD-001,AUD-001,Generate an import-only audit file with #check declarations and compile it.,#check; import graph,none,S,low,G0,"Any named declaration is absent, renamed, or convention-incompatible.",Separates user-reported banked results from locally verified results.
AUD-003,,0,Audit,NO_GO,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.Audit.Axioms,public_capstones_have_no_unapproved_axioms,Public capstones contain no sorry/admit and depend only on an approved axiom whitelist.,AUD-001,AUD-001,Scan sources; add #print axioms checks for capstones; fail CI on forbidden tokens.,#print axioms; repository scripts,small script,S,low,G0,A public theorem depends on an undeclared axiom or sorry.,"Classical choice may be allowed; physics assumptions must be named structures, not axioms."
DEF-001,NS00,0,Conventions,DEFINITION,REPORTED_EXISTING,KINEMATIC,PhysicsSM.NullStrand.Conventions,MinkowskiConventions,"One canonical (+---) convention package for Minkowski vectors, Pauli maps, adjoints, and natural units.",AUD-002,AUD-002,Wrap existing definitions; prove conversion lemmas; deprecate duplicates.,Matrix; Complex; finite-dimensional linear algebra,possible API reconciliation,M,medium,G0,Two trusted modules require incompatible signatures or normalizations.,Do not redefine existing project types unless reconciliation is impossible.
DEF-002,,0,Conventions,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.Lorentz4,ProperOrthoChronousLorentz,Linear equivalences preserving the Minkowski form and future orientation.,DEF-001,DEF-001,Define as a linear equivalence plus form-preservation and future-cone preservation fields.,LinearEquiv; bilinear forms,time-orientation API likely custom,M,medium,G1,The definition cannot compose cleanly or act on all later fibers.,Avoid committing to a full Lie-group manifold in the finite spine.
DEF-003,,0,Conventions,NO_GO,STATEMENT_DESIGNED,ENGINEERING,PhysicsSM.NullStrand.Conventions,representation_firewall,"Pluecker scalars, Hermitian momenta, self-dual curvature spinors, and spacetime bivectors remain distinct types.",DEF-001,DEF-001,Use separate namespaces/types; provide only explicit equivalences and coercions.,AlternatingMap; Matrix; TensorProduct,none,S,low,G0,A theorem silently coerces between inequivalent representations.,This is an API rule enforced by review rather than one mathematical theorem.
KIN-001,NS01,1,NullFiber,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.Basic,nullFiber_equiv_restSphere,"For unit future-timelike U, normalized future-null k are equivalent to unit spacelike xi orthogonal to U via k=U+xi.",DEF-001,DEF-001,Expand Minkowski squares and inner products in both directions.,Linear algebra; ring_nf,none,S,low,G1,Future-directedness of U+xi cannot be proved from the chosen predicates.,Split algebraic nullity from strict future-directedness if needed.
KIN-002,NS02,1,FiniteDesign,DEFINITION,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FiniteDesign,octahedralRestDesign,"The six rest-space directions ±e1, ±e2, ±e3 with uniform weights.",DEF-001,DEF-001,Define by Fin 6 table in the standard rest frame.,Fin; Matrix; EuclideanSpace,none,S,low,G1,Coordinate definitions create excessive simplification cost.,Use rational coordinates and dedicated simp lemmas.
KIN-003,NS02,1,FiniteDesign,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FiniteDesign,octaNull_mean_eq_timelike,The octahedral null fan has mean U and isotropic second moment in the rest frame.,U is the standard rest vector,KIN-001;KIN-002,Finite sum normalization; symmetry cancellation; direct coordinates.,Finset sums; norm_num,none,S,low,G1,Normalization or factor 1/3 disagrees with conventions.,Add tetrahedral design only after this exact rational pilot is stable.
DEF-004,,1,BarycentricResolution,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.Barycentric,FiniteNullResolution,A finite probability law on normalized future-null vectors with prescribed barycenter U.,[Fintype Omega]; PMF Omega; U unit future timelike,KIN-001,"Use PMF rather than raw real weights; store nullity, normalization, and barycenter proofs.",ProbabilityMassFunction,none,S,low,G1,PMF API makes vector expectation cumbersome.,"A raw-weight wrapper may exist privately, but public APIs should use probability objects."
KIN-004,,1,BarycentricResolution,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.Barycentric,octahedral_isFiniteNullResolution,The octahedral design instantiates FiniteNullResolution for the rest vector.,KIN-003,KIN-003;DEF-004,Package existing moment and nullity lemmas.,PMF finite integrals,none,S,low,G1,Packaging exposes a convention mismatch.,
DEF-005,,1,BarycentricMeasure,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.BarycentricMeasure,NullBarycentricMeasure,A probability measure on NullFiber U whose Bochner first moment is U.,U unit future timelike,KIN-001,"Store probability, integrability, and barycenter fields.",Measure; Bochner integral,subtype/vector integration details,M,medium,G2,The identity map on the subtype is awkward to integrate.,This abstraction lets all flux theorems avoid depending on the sphere construction.
KIN-005,NS06,1,FluxFinite,DEFINITION,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FluxFinite,finiteFluxLaw,Observer flux-reweights a finite null resolution by (n·k)/(n·U).,n and U unit future timelike; positive inner products,DEF-004,Define a PMF after proving nonnegativity and total mass one.,PMF; finite sums,none,M,low,G1,Strict positivity lemmas for future causal vectors are missing.,Prove cone inner-product lemmas once in Lorentz4.
KIN-006,NS07,1,FluxFinite,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FluxFinite,finiteFluxDirectionMean_eq_relativeVelocity,The flux-weighted mean observer direction equals U/(n·U)-n.,FiniteNullResolution U,KIN-005,Cancel the flux denominator using the barycenter field; no coordinate integration.,Finset linearity,none,S,low,G1,Observer direction normalization conventions differ.,This is the key flux theorem and should precede continuum measure work.
KIN-007,NS08,1,FluxFinite,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FluxFinite,finiteFluxDirectionVariance_eq_invGammaSq,The flux variance of unit directions is 1/(n·U)^2.,KIN-006; every observer direction has norm one,KIN-006,Use E||omega-beta||^2 = E||omega||^2-||E omega||^2.,Inner product identities; finite expectation,none,S,low,G1,Rest-space norm is not aligned with Minkowski conventions.,
KIN-008,NS08,1,MassRatio,THEOREM,READY_TO_PROVE,INTERPRETATION,PhysicsSM.NullStrand.NullFiber.MassRatio,finiteFluxVariance_eq_massRatioSq,"For p=mU and E=n·p, flux variance equals m^2/E^2 and matches the normalized visible determinant.",m>0; banked observer-channel determinant theorem,KIN-007;AUD-002,Algebraic substitution; compose with existing determinant wrapper.,Field_simp; existing Pluecker/observer modules,possible theorem-name reconciliation,S,medium,G1,Energy normalization in the banked theorem differs by a factor of two.,Record exact trace-versus-energy convention in the theorem name/docstring.
KIN-009,NS28,1,ClockKinematics,THEOREM,READY_TO_PROVE,INTERPRETATION,PhysicsSM.NullStrand.Clock.StrandParameterFinite,finiteFluxMean_dsdt_eq_invGamma,"Under flux weighting, E[1/(n·k)] = 1/(n·U).",FiniteNullResolution U,KIN-005,"The flux factor cancels pointwise, leaving total intrinsic weight.",Finite expectation,none,S,low,G1,A zero denominator is possible under weak future predicates.,Keep expectation theorem separate from pathwise clock convergence.
KIN-010,NS09,1,RegulatorNoGo,NO_GO,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.RegulatorNoGo,uniformComponent_bounds_meanNorm,A probability law with an epsilon uniform component has mean norm at most 1-epsilon.,Directions have unit norm and uniform component has zero mean,DEF-004,Convex decomposition and triangle inequality.,Normed-space convexity,none,S,low,G1,None; this is a robust guardrail.,Formalize finite support first; general measure version is optional.
KIN-011,,1,BoundaryNoGo,NO_GO,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.RegulatorNoGo,meanNorm_eq_one_implies_support_collinear,A unit-sphere probability law with mean norm one is concentrated on one direction.,Finite support initially,KIN-010,Equality case of triangle inequality/strict convexity.,Strict convexity; finite sums,equality-case lemmas may be custom,M,medium,G1,Equality characterization becomes disproportionately hard.,A weaker pairwise-equality theorem is acceptable for Gate G1.
MEA-001,NS03,2,IntrinsicMeasure,EXPERIMENT,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.NullFiber.MeasureSpike,sphere_measure_api_spike,A compiling spike constructs normalized measure on S^2 and proves antipodal symmetry and coordinate integrability.,Current mathlib revision,AUD-001,Write a minimal isolated file before designing the public API.,Sphere manifold; Haar/volume measure; Bochner integral,exact normalized-sphere API discovery,S,medium,G2,The required normalized measure or symmetry API is absent.,"If blocked, use a compact-group quotient or explicit spherical-coordinate measure as a fallback."
MEA-002,NS03,2,IntrinsicMeasure,THEOREM,BLOCKED_ON_SPIKE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.IntrinsicMeasure,intrinsicNullMeasure_isProbability,The pushforward of normalized rest-sphere measure is a probability measure on NullFiber U.,MEA-001; KIN-001,MEA-001;KIN-001,Pushforward probability under measurable equivalence.,Measure.map; IsProbabilityMeasure,rest-space measurable equivalence,M,medium,G2,The abstract rest-space sphere is too expensive to instantiate.,"Fallback: define first in standard rest frame, then transport by a chosen Lorentz map."
MEA-003,NS04,2,IntrinsicMeasure,THEOREM,BLOCKED_ON_SPIKE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.IntrinsicMeasure,intrinsicNullMeasure_firstMoment,The intrinsic null measure has first moment U.,MEA-002,MEA-002,Reduce to zero mean of the rest-sphere coordinate map by antipodal symmetry.,Bochner integral; measure-preserving antipodal map,vector integral symmetry lemmas,L,medium,G2,Antipodal symmetry does not simplify the vector integral cleanly.,Prove a reusable odd-integral-over-symmetric-measure lemma.
MEA-004,NS05,2,IntrinsicMeasure,THEOREM,BLOCKED_ON_MODEL,KINEMATIC,PhysicsSM.NullStrand.NullFiber.IntrinsicMeasure,intrinsicNullMeasure_lorentzCovariant,Proper orthochronous Lorentz maps push intrinsic measure at U to intrinsic measure at Lambda U.,DEF-002; MEA-002,DEF-002;MEA-002,Show Lorentz maps intertwine rest-sphere constructions and preserve normalized measure.,Measure.map; linear isometries; Haar uniqueness,Lorentz/rest-space measure transport,XL,high,G2,The chosen intrinsic measure construction is not canonical enough for covariance.,Not on the Gate G1 critical path.
MEA-005,NS06,2,FluxMeasure,THEOREM,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FluxMeasure,fluxMeasure_isProbability,Flux reweighting of any NullBarycentricMeasure is a probability measure.,DEF-005,DEF-005,Use withDensity and the barycenter identity.,Measure.withDensity; Bochner integral,RN-density normalization details,M,medium,G2,ENNReal/Real coercions dominate the proof.,"Prove a generic reweighting lemma once, then instantiate."
MEA-006,NS07,2,FluxMeasure,THEOREM,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FluxMeasure,fluxDirectionMean_eq_relativeVelocity,The continuum flux-weighted direction mean equals the observer relative velocity.,DEF-005; MEA-005,MEA-005,Mirror KIN-006 with integral linearity.,Bochner integral; withDensity integral,integrability bookkeeping,M,medium,G2,Observer-direction map fails at a null set due to denominator formulation.,Use positivity of n·k on future null support.
MEA-007,NS08,2,FluxMeasure,THEOREM,STATEMENT_DESIGNED,INTERPRETATION,PhysicsSM.NullStrand.NullFiber.FluxMeasure,fluxDirectionVariance_eq_massRatioSq,Continuum flux variance equals m^2/E^2.,MEA-006,MEA-006,Integral version of KIN-007 and KIN-008.,Bochner integral; variance,none beyond MEA-006,S,low,G2,None once MEA-006 is complete.,
MEA-008,,2,ExplicitKernel,THEOREM,DEFERRED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.ExplicitKernel,fluxMeasure_lab_density,In a laboratory frame the flux density is (1-beta^2)^2/[4pi(1-beta·omega)^3].,MEA-004; coordinate chart,MEA-004;MEA-005,Compute Radon-Nikodym derivative under aberration; verify normalization by invariant theorem.,Multivariable calculus; sphere coordinates,substantial coordinate integration,L,high,G2,Coordinate proof consumes effort without unlocking later theorems.,"Treat as a validation theorem, not a dependency of the invariant construction."
DEF-006,,1,FiniteProbability,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Probability.FiniteKernel,FiniteKernel,A finite-state discrete-time kernel alpha -> PMF beta with composition and pushforward.,[Fintype alpha] [Fintype beta],AUD-001,Use functions into PMF and define bind-based composition.,PMF Monad,none,S,low,G1,Existing project already has an incompatible stochastic-matrix API.,Provide equivalence to matrices only when needed for linear algebra.
DEF-007,,1,FiniteProbability,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Probability.JumpGenerator,FiniteJumpGenerator,A continuous-time finite jump generator with nonnegative off-diagonal rates and zero row sums.,[Fintype alpha],AUD-001,Use a rate matrix plus structural proofs; fix row/column convention in module docstring.,Matrix; Finset,none,S,low,G1,Sign convention drifts between Bell current and master equation.,Add a one-page convention test with a two-state example.
STO-001,,1,FiniteProbability,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.Probability.FiniteKernel,pushforward_comp,Pushing a PMF through composed finite kernels equals successive pushforwards.,DEF-006,DEF-006,Monad laws / finite sums.,PMF.bind,none,S,low,G1,None.,Core reusable lemma for all discrete-time equivariance proofs.
STO-002,,1,FiniteProbability,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.Probability.JumpGenerator,masterEquation_mass_conserved,A finite jump generator preserves total probability under the forward equation.,DEF-007,DEF-007,Swap finite sums and use row-sum zero.,Matrix; Finset.sum_comm,none,S,low,G1,Row/column convention error.,
ZZ-001,NS10;NS11,1,ChiralCurrent,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.ZigZag.ChiralCurrent,weylCurrent_futureCausal_null,A Weyl two-spinor current is future causal and null; it is strictly future-directed when the spinor is nonzero.,DEF-001,DEF-001,Use the Pauli/Bloch norm identity; split zero and nonzero cases.,Complex inner product; banked spin-coherent lemmas,possible import reconciliation,S,low,G1,Current normalization differs from banked projector theorem.,Prefer one theorem parametrized by chirality sign plus right/left wrappers.
DEF-008,,1,ChiralTransfer,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.ZigZag.TransferCurrent,TwoSectorContinuity,"Abstract two-sector densities, currents, and signed transfer F satisfying opposite continuity equations.",A chosen discrete or continuous base space,DEF-007,Separate local algebra from PDE/discrete divergence implementation.,Structures; no analysis required,none,S,low,G1,The abstraction is too PDE-specific to reuse for lattice coins.,Provide discrete-time and continuous-time adapters.
ZZ-002,NS13,1,MinimalRates,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.ZigZag.MinimalRates,minimalRates_netTransfer,Positive-part rates reproduce the signed transfer current exactly.,Nonnegative source densities; zero-density compatibility,DEF-008,Case split on sign of F; safe division lemmas.,Real positive part,none,S,low,G1,Zero-density division is left implicit.,Add explicit source-zero lemmas before defining rates.
ZZ-003,,1,MinimalRates,NO_GO,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.ZigZag.MinimalRates,transfer_zero_of_sourceDensity_zero,"For a positive density derived from amplitudes, signed probability flow out of a zero-density source is zero.",Transfer current is a bilinear amplitude expression,ZZ-001,Use Cauchy-Schwarz or amplitude vanishing.,Complex inner product,depends on concrete transfer formula,M,medium,G1,Abstract continuity data do not imply the claim.,"Keep this as an instantiation theorem, not a field of the abstract interface unless explicitly assumed."
ZZ-004,NS12,2,DiracPDE,CONDITIONAL_THEOREM,BLOCKED_ON_MODEL,DYNAMICS,PhysicsSM.NullStrand.ZigZag.DiracContinuity,dirac_massTransfer_eq_two_m_im_inner,The Weyl form of the Dirac equation gives opposite chiral transfer F=2m Im(phi_R†phi_L).,Differentiable Dirac solution; fixed conventions,DEF-001;ZZ-001,Formalize product-rule continuity calculation after a PDE solution interface exists.,Calculus; complex inner products,Dirac PDE and differential-operator API,XL,high,G2,PDE formalization swamps the Bohmian project.,An abstract theorem assuming the Weyl equations is sufficient before constructing solution spaces.
ZZ-005,,1,TwoStateCoupling,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.ZigZag.TwoStateCoupling,minimalTwoStateCoupling_unique,"For two probability vectors on {L,R}, the minimum off-diagonal transport coupling is unique and explicit.",Equal total mass,DEF-006,Two-case proof using Delta=pR_prime-pR.,Fin 2; PMF,none,S,low,G1,None.,This reusable lemma should drive the checkerboard coin beable.
ZZ-006,NS17,1,LatticeBeable,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.ZigZag.LatticeBeable,coinBornTransport_isKernel,The minimal two-state coupling defines a valid hidden transition kernel through the local coin.,Unitary two-component coin,ZZ-005;AUD-002,Use norm preservation to establish equal total Born weight.,PMF; banked checkerboard norm theorem,existing coin API reconciliation,S,medium,G1,Banked coin convention differs from the proposed update order.,
ZZ-007,NS18,1,LatticeBeable,THEOREM,READY_TO_PROVE,EQUIVARIANCE,PhysicsSM.NullStrand.ZigZag.LatticeBeable,latticeBeable_oneStep_equivariant,Coin hidden update followed by conditional shift pushes the actual distribution to the next Born distribution.,ZZ-006; checkerboard wave recursion,ZZ-006;STO-001;AUD-002,Compose target-marginal theorem with deterministic shift.,PMF; deterministic kernel,none,M,low,G1,Position/index shifts are represented inconsistently.,Prove an n-step corollary by induction only after one-step theorem is clean.
ZZ-008,NS19,1,LatticeBeable,THEOREM,READY_TO_PROVE,ONTOLOGY,PhysicsSM.NullStrand.ZigZag.LatticeBeable,actualShift_isNull,Every realized lattice spacetime increment has Minkowski square zero and speed c in lattice units.,a=c tau; natural units in core,DEF-001,Direct coordinate calculation.,Ring normalization,none,XS,low,G1,Unit restoration is mixed into the core theorem.,Keep core in c=1 and add a units wrapper later.
ZZ-009,,1,LatticeBeable,THEOREM,READY_TO_PROVE,EQUIVARIANCE,PhysicsSM.NullStrand.ZigZag.LatticeBeable,latticeBeable_nStep_equivariant,The hidden lattice process is Born-equivariant for every finite number of ticks.,ZZ-007,ZZ-007,Induction using STO-001.,Nat induction; kernel composition,none,S,low,G1,None.,
ZZ-010,,1,QuantumWalkDispersion,THEOREM,STATEMENT_DESIGNED,PHENOMENOLOGY,PhysicsSM.NullStrand.ZigZag.Dispersion,quantumWalk_quasienergy_relation,The 1+1 walk obeys cos(E tau)=cos(p tau)cos(m tau).,Specific Rz/Rx convention,AUD-002,Compute trace/determinant or eigenvalue characteristic polynomial.,Matrix 2x2; trigonometric identities,trig simplification,M,medium,G1,Different step ordering changes the formula.,Freeze the unitary order in the operator charter.
DEF-009,,1,FiniteNullLift,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.NullLift.ExtendedLaw,ExtendedLaw,The joint law rho(z) pi_z(omega) over base state and hidden null direction.,Finite base and direction types,DEF-004;DEF-006,Define by PMF bind or normalized nonnegative weights.,PMF,none,S,low,G1,Conditional laws are not normalized at zero base mass.,Use PMF conditionals independent of rho so zero base mass is harmless.
LIFT-001,NS20,1,ResidualCurrent,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.NullLift.ResidualCurrent,surplusDeficitCurrent_divergence_eq,Any finite zero-sum residual G admits an explicit antisymmetric current with divergence G.,Finite nonempty direction type; sum G=0,DEF-007,Use positive/negative parts and normalize by total surplus; handle zero residual separately.,Finset; Real positive part,none,M,low,G1,Division by zero in the zero-residual case.,Define current by if totalSurplus=0 then 0 else formula.
LIFT-002,,1,ResidualCurrent,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.NullLift.ResidualCurrent,currentPositivePart_rates_masterEquation,Positive-part rates derived from an antisymmetric current reproduce its divergence.,Positive extended density; zero-density compatibility,LIFT-001;DEF-007,Finite Bell-current algebra.,Finset; safe division,none,M,low,G1,Current may leave a zero-density source.,Either prove compatibility from construction or include it as a named hypothesis.
LIFT-003,NS21,1,FiniteEquivariance,THEOREM,READY_TO_PROVE,EQUIVARIANCE,PhysicsSM.NullStrand.NullLift.FiniteEquivariance,finiteNullLift_forwardEquation,Base evolution plus angular residual rates preserve the prescribed extended law.,A differentiable finite base law satisfying its forward equation,DEF-009;LIFT-002,Expand derivative of rho*pi and cancel residual by the angular master equation.,Finite sums; elementary calculus,time-dependent finite functions,M,medium,G1,Discrete-time and continuous-time formulations are conflated.,Provide separate theorems for kernels and jump generators.
DEF-010,,1,LeastAction,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.NullLift.LeastActionMatrix,WeightedFlowProblem,"A finite incidence matrix B, positive conductances W, target density f, and zero-sum source G.",Connected finite direction graph,DEF-007,Use an oriented edge type and incidence matrix; fix gauge by zero-mean potentials.,Matrix; SimpleGraph optional,orientation/incidence API may be custom,M,medium,G1,Graph abstraction creates more overhead than matrix proof.,Prove matrix theorem first; add graph wrapper later.
LA-001,NS22,1,LeastAction,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.NullLift.LeastActionMatrix,weightedLaplacian_kernel_eq_constants,"For a connected positive-weight graph, the weighted Laplacian kernel is exactly the constants.",DEF-010,DEF-010,Energy identity plus connectedness propagation.,Finite-dimensional inner product; graph connectivity,some graph-to-matrix glue,M,medium,G1,The chosen directed orientation obscures symmetric energy.,
LA-002,,1,LeastAction,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.NullLift.LeastActionMatrix,zeroSum_source_in_laplacian_range,Every zero-sum source lies in the range of the connected weighted Laplacian.,LA-001,LA-001,Finite-dimensional orthogonal-complement/rank-nullity argument.,FiniteDimensional; orthogonal complement,none,M,medium,G1,Range/orthogonal-complement APIs are awkward.,Could solve by deleting one row/column and proving invertibility as fallback.
LA-003,NS23,1,LeastAction,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.NullLift.LeastActionMatrix,minimumEnergyFlow_unique,The gradient flow solving the weighted Poisson equation uniquely minimizes kinetic energy among flows with divergence -G.,LA-002; positive conductances,LA-002,Complete the square or use orthogonal decomposition into gradient plus divergence-free flow.,Inner product projection; Lagrange multiplier finite algebra,none,L,medium,G1,The objective uses the wrong density/conductance weighting.,State the exact energy convention in the charter and test on a 3-node graph.
LA-004,,1,LeastAction,THEOREM,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.NullLift.LeastActionRates,minimumEnergyFlow_induces_equivariantRates,The minimum-energy antisymmetric flow induces valid jump rates preserving the target finite law.,LA-003; strictly positive target law,LA-003;LIFT-002,Take positive parts and divide by source density.,Finite generator,none,M,medium,G1,Target law has zeros.,Zero support should be removed or handled componentwise; do not hide it in division conventions.
TRAJ-001,,1,Trajectory,THEOREM,STATEMENT_DESIGNED,ONTOLOGY,PhysicsSM.NullStrand.Probability.Trajectory,finiteKernel_trajMeasure,A sequence of finite Markov kernels determines a probability measure on infinite trajectories.,Measurable finite state spaces; Markov kernels,DEF-006,Wrap mathlib Ionescu-Tulcea trajectory measure for finite kernels.,Probability.Kernel.IonescuTulcea.Traj,API adapter from PMF kernel,M,low,G1,The local FiniteKernel API does not coerce smoothly to measurable kernels.,This theorem makes “actual history” a genuine random variable rather than only a master equation.
ERG-001,NS25,1,IIDTrajectory,THEOREM,READY_TO_PROVE,ONTOLOGY,PhysicsSM.NullStrand.Ergodic.IIDNullSteps,iidNullSteps_empiricalMean_tendsto,"For i.i.d. integrable null increments with mean U, the empirical mean converges almost surely to U.",Banach-valued i.i.d. increments,KIN-004,Instantiate the existing Banach-valued strong law.,Probability.StrongLaw,none,M,low,G1,Measurability/integrability wrappers for finite-valued variables are verbose.,This is the first pathwise coarse-timelike theorem and should be on the critical path.
ERG-002,NS25,1,IIDTrajectory,THEOREM,READY_TO_PROVE,ONTOLOGY,PhysicsSM.NullStrand.Ergodic.IIDNullSteps,iidNullTrajectory_coarseVelocity_tendsto_timelike,Positions formed by summing i.i.d. null increments have asymptotic four-velocity U almost surely.,ERG-001,ERG-001,Rewrite displacement as partial sum of increments.,Strong law; Finset sums,none,S,low,G1,Indexing convention creates an off-by-one issue.,
ERG-003,,1,IIDTrajectory,THEOREM,READY_TO_PROVE,INTERPRETATION,PhysicsSM.NullStrand.Ergodic.IIDNullSteps,iidFluxTrajectory_coarseSpatialVelocity_tendsto,Observer-time unit-speed directions sampled from the finite flux law have empirical velocity beta.,KIN-006; iid samples,KIN-006;ERG-001,Apply strong law in the observer rest space.,Probability.StrongLaw,rest-space Banach instance,M,medium,G1,The rest-space subtype lacks convenient normed-space instances.,A coordinate version in R^3 is acceptable for the first endpoint.
